Column1,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Services.Tenure in Months,Services.Offer,Services.Internet Type,Services.Premium Tech Support,Services.Streaming TV,Services.Streaming Movies,Services.Contract,Services.Payment Method,Services.Monthly Charge,Services.Total Charges,Services.Total Revenue,Status.Satisfaction Score,Status.Customer Status,Status.Churn Label,Status.Churn Value,Status.Churn Score,Status.CLTV,Status.Churn Category,Status.Churn Reason,Location.Country,Location.State,Location.City,Location.Zip Code,Location.Latitude,Location.Longitude,Population.Population,Age Group,Tenure Group,Churn Risk
6770-XUAGN,1,Female,30,No,No,Yes,No,0,1,Offer E,None,No,No,No,Month-to-Month,Bank Withdrawal,21,21,37.66,2,Churned,Yes,1,90,3753,Attitude,Attitude of support person,United States,California,North Hollywood,91605,34.207295,-118.400022,57146,18-30,New Customer,High
2058-DCJBE,1,Male,32,No,No,No,No,0,5,Offer E,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,69.75,324.6,480.3,1,Churned,Yes,1,91,3965,Competitor,Competitor had better devices,United States,California,Los Angeles,90012,34.065875,-118.238728,30596,31-45,New Customer,High
9947-OTFQU,1,Male,65,No,Yes,No,No,0,15,Offer D,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,74.4,1074.3,1510.95,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices,United States,California,Covina,91722,34.097345,-117.906736,33817,60,Growing,High
9659-ZTWSM,1,Male,71,No,Yes,Yes,No,0,66,None,Fiber Optic,Yes,Yes,Yes,One Year,Bank Withdrawal,107.35,7051.95,7531.53,4,Stayed,No,0,53,4138,,,United States,California,Los Angeles,90013,34.044639,-118.240413,9732,60,Long-term,Medium
5364-XYIRR,1,Male,44,No,No,Yes,No,0,51,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,94.65,4812.75,5887.83,1,Churned,Yes,1,91,4747,Competitor,Competitor had better devices,United States,California,Los Angeles,90013,34.044639,-118.240413,9732,31-45,Long-term,High
9514-JDSKI,1,Male,77,No,Yes,Yes,No,0,1,Offer E,DSL,No,Yes,No,Month-to-Month,Bank Withdrawal,40.2,40.2,40.2,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services,United States,California,El Monte,91732,34.074492,-118.01462,62660,60,New Customer,Medium
3143-ILDAL,1,Male,21,Yes,No,No,No,0,56,None,Fiber Optic,Yes,No,Yes,Month-to-Month,Bank Withdrawal,94.45,5124.6,6547.56,3,Churned,Yes,1,96,4830,Attitude,Attitude of support person,United States,California,El Monte,91732,34.074492,-118.01462,62660,18-30,Long-term,High
2197-OMWGI,1,Female,65,No,Yes,Yes,Yes,1,68,None,DSL,No,Yes,Yes,Two Year,Bank Withdrawal,53,3656.25,3656.25,4,Stayed,No,0,31,5583,,,United States,California,Los Angeles,90014,34.043144,-118.251977,3524,60,Long-term,Medium
4829-AUOAX,1,Female,57,No,No,No,No,0,46,None,Cable,No,Yes,Yes,Month-to-Month,Bank Withdrawal,96.05,4399.5,4763.78,2,Churned,Yes,1,77,2712,Price,Extra data charges,United States,California,Los Angeles,90014,34.043144,-118.251977,3524,46-60,Loyal,High
7273-TEFQD,1,Male,67,No,Yes,No,No,0,3,Offer E,DSL,No,No,Yes,Month-to-Month,Bank Withdrawal,41.15,132.2,132.2,2,Churned,Yes,1,96,2314,Price,Long distance charges,United States,California,La Puente,91746,34.038983,-117.991372,30802,60,New Customer,High
0280-XJGEX,1,Male,38,No,No,No,Yes,1,49,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,103.7,5036.3,7208.47,1,Churned,Yes,1,89,5340,Competitor,Competitor had better devices,United States,California,Los Angeles,90015,34.039224,-118.266293,15140,31-45,Long-term,High
3606-TWKGI,1,Male,68,No,Yes,No,No,0,13,Offer D,Cable,No,Yes,Yes,Month-to-Month,Bank Withdrawal,106.9,1364.3,1799.14,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices,United States,California,Rowland Heights,91748,33.976753,-117.897367,46342,60,Growing,High
4385-GZQXV,1,Female,68,No,Yes,No,No,0,16,Offer D,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,94.45,1511.2,1662.08,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices,United States,California,Ontario,91764,34.074087,-117.605618,49474,60,Growing,High
3488-PGMQJ,1,Male,66,No,Yes,No,No,0,8,None,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,74.5,606.55,620.79,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support,United States,California,Alpine,91901,32.827184,-116.703729,16486,60,New Customer,High
2195-VVRJF,1,Male,74,No,Yes,Yes,No,0,18,None,DSL,No,No,Yes,Two Year,Credit Card,59.1,1011.05,1083.14,3,Stayed,No,0,30,2422,,,United States,California,Los Angeles,90018,34.028735,-118.317236,47143,60,Growing,Low
7534-BFESC,1,Male,69,No,Yes,No,No,0,24,Offer C,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,76.1,1712.7,2453.58,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Growing,High
8098-LLAZX,1,Female,74,No,Yes,No,No,0,4,Offer E,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,95.45,396.1,522.54,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,New Customer,High
0265-EDXBD,1,Male,76,No,Yes,Yes,No,0,32,Offer C,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,74.9,2303.35,3818.23,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Loyal,Medium
2840-XANRC,1,Male,77,No,Yes,Yes,No,0,24,Offer C,Cable,No,Yes,Yes,Month-to-Month,Bank Withdrawal,93.15,2231.05,2617.45,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Growing,High
5020-ZSTTY,1,Female,70,No,Yes,No,No,0,54,Offer B,DSL,Yes,Yes,Yes,One Year,Bank Withdrawal,82.45,4350.1,5002.42,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Long-term,High
5804-LEPIM,1,Female,74,No,Yes,No,No,0,2,Offer E,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,70.35,139.05,165.39,3,Churned,Yes,1,73,2671,Other,Don't know,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,New Customer,High
0623-IIHUG,1,Female,77,No,Yes,No,No,0,21,None,Cable,No,Yes,No,Month-to-Month,Bank Withdrawal,41.9,840.1,840.1,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Growing,High
9057-MSWCO,1,Male,71,No,Yes,Yes,No,0,27,None,Cable,No,No,No,Month-to-Month,Credit Card,30.75,805.1,945.1,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Loyal,High
4895-TMWIR,1,Male,79,No,Yes,Yes,No,0,11,None,None,No,No,No,Month-to-Month,Mailed Check,19.95,214.75,539.69,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,New Customer,High
0533-BNWKF,1,Female,66,No,Yes,Yes,No,0,55,Offer B,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,85.45,4874.7,7319.8,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Long-term,High
0334-GDDSO,1,Male,77,No,Yes,No,No,0,3,Offer E,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,81.35,233.7,261.36,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,New Customer,High
4795-KTRTH,1,Female,68,No,Yes,Yes,No,0,5,Offer E,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,81,371.65,577.41,1,Churned,Yes,1,91,4287,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,New Customer,High
3580-REOAC,1,Male,34,No,No,No,No,0,10,None,DSL,No,No,No,Month-to-Month,Credit Card,44.85,435.4,931.2,2,Churned,Yes,1,83,4061,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,31-45,New Customer,High
6390-DSAZX,1,Female,21,Yes,No,No,No,0,1,None,Fiber Optic,No,No,No,Month-to-Month,Credit Card,73.6,73.6,79.79,1,Churned,Yes,1,80,2565,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,New Customer,High
7563-BIUPC,1,Male,30,No,No,No,No,0,5,Offer E,Fiber Optic,No,Yes,No,Month-to-Month,Bank Withdrawal,80.6,415.55,448.01,2,Churned,Yes,1,69,5715,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,New Customer,Medium
2321-OMBXY,1,Female,55,No,No,Yes,No,0,38,Offer C,DSL,Yes,Yes,Yes,One Year,Credit Card,80.3,3058.65,4659.97,1,Churned,Yes,1,81,2071,Other,Don't know,United States,California,San Diego,92122,32.85723,-117.209774,34902,46-60,Loyal,High
0122-OAHPZ,1,Female,29,Yes,No,No,No,0,7,None,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,73.85,511.25,698.56,3,Churned,Yes,1,67,2473,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,New Customer,Medium
2868-SNELZ,1,Female,54,No,No,No,No,0,2,None,Fiber Optic,No,No,No,Month-to-Month,Credit Card,80.6,155.8,166.44,1,Churned,Yes,1,92,2683,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,46-60,New Customer,High
4322-RCYMT,1,Male,63,No,No,Yes,No,0,68,Offer A,DSL,Yes,No,Yes,One Year,Bank Withdrawal,75.8,5293.95,7368.19,3,Churned,Yes,1,81,4903,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Long-term,High
6680-NENYN,1,Female,24,Yes,No,No,No,0,43,None,Fiber Optic,No,Yes,Yes,Two Year,Bank Withdrawal,104.6,4759.85,5313.69,1,Churned,Yes,1,91,5250,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,Loyal,High
1343-EHPYB,1,Male,61,No,No,Yes,No,0,63,None,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,103.4,6603,9686.85,2,Churned,Yes,1,91,4352,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Long-term,High
2034-GDRCN,1,Female,47,No,No,No,No,0,2,Offer E,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,90.4,168.2,189.26,3,Churned,Yes,1,76,4157,Other,Don't know,United States,California,San Diego,92122,32.85723,-117.209774,34902,46-60,New Customer,High
0219-YTZUE,1,Male,26,Yes,No,Yes,No,0,4,Offer E,Fiber Optic,No,No,No,Month-to-Month,Bank Withdrawal,84.8,371.9,486.98,3,Churned,Yes,1,73,4939,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,New Customer,High
4572-DVCGN,1,Female,40,No,No,No,No,0,10,None,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,80.25,846,1117,3,Churned,Yes,1,85,3598,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,31-45,New Customer,High
1010-DIAUQ,1,Male,54,No,No,No,No,0,5,Offer E,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,96.5,492.55,596.85,3,Churned,Yes,1,91,5383,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,46-60,New Customer,High
0259-GBZSH,1,Male,22,Yes,No,No,No,0,2,Offer E,Cable,No,Yes,No,Month-to-Month,Bank Withdrawal,85.65,181.5,262.36,1,Churned,Yes,1,73,3878,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,New Customer,High
9601-BRXPO,1,Female,48,No,No,Yes,No,0,25,Offer C,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,104.95,2566.5,2789.25,3,Churned,Yes,1,66,3642,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,46-60,Loyal,Medium
6905-NIQIN,1,Male,26,Yes,No,No,No,0,1,Offer E,DSL,No,No,No,Month-to-Month,Credit Card,50.65,50.65,65.43,1,Churned,Yes,1,76,2431,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,New Customer,High
5167-ZFFMM,1,Male,64,No,No,No,No,0,1,Offer E,Fiber Optic,No,No,Yes,Month-to-Month,Credit Card,90.85,90.85,99.41,3,Churned,Yes,1,81,3424,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,New Customer,High
6599-CEBNN,1,Female,63,No,No,No,No,0,34,Offer C,Fiber Optic,No,No,No,Month-to-Month,Credit Card,73.95,2524.45,2577.15,3,Churned,Yes,1,94,5795,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,60,Loyal,High
0979-PHULV,1,Male,30,No,No,Yes,No,0,69,Offer A,Fiber Optic,No,Yes,Yes,Month-to-Month,Credit Card,99.45,7007.6,10374.8,3,Churned,Yes,1,80,4020,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,18-30,Long-term,High
4800-VHZKI,1,Female,59,No,No,No,No,0,1,Offer E,None,No,No,No,Month-to-Month,Credit Card,19.9,19.9,56.53,3,Churned,Yes,1,92,3351,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,46-60,New Customer,High
7989-CHGTL,1,Male,52,No,No,No,No,0,1,Offer E,None,No,No,No,Month-to-Month,Credit Card,19.6,19.6,33.77,1,Churned,Yes,1,95,3448,Competitor,Competitor made better offer,United States,California,San Diego,92122,32.85723,-117.209774,34902,46-60,New Customer,High
7852-LECYP,1,Male,79,No,Yes,Yes,No,0,13,Offer D,Fiber Optic,No,No,Yes,Two Year,Credit Card,93.8,1261,1886.95,4,Stayed,No,0,43,5870,,,United States,California,Los Angeles,90019,34.049841,-118.33846,67520,60,Growing,Medium
6437-UDQJM,1,Female,72,No,Yes,Yes,No,0,72,None,DSL,No,Yes,Yes,Two Year,Credit Card,84.1,6129.65,9542.45,3,Stayed,No,0,62,4999,,,United States,California,Los Angeles,90023,34.017697,-118.200577,47487,60,Long-term,Medium
9158-VCTQB,1,Female,41,No,No,Yes,No,0,41,None,Fiber Optic,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,113.6,4594.95,4800.36,1,Churned,Yes,1,96,4963,Price,Extra data charges,United States,California,Los Angeles,90023,34.017697,-118.200577,47487,31-45,Loyal,High
7657-DYEPJ,1,Male,73,No,Yes,No,No,0,38,Offer C,Cable,Yes,Yes,No,One Year,Credit Card,70.15,2497.35,2715.85,3,Churned,Yes,1,82,2645,Price,Lack of affordable download/upload speed,United States,California,Los Angeles,90024,34.066303,-118.435479,44150,60,Loyal,High
1226-IENZN,1,Male,68,No,Yes,No,No,0,16,Offer D,Fiber Optic,No,No,Yes,Month-to-Month,Bank Withdrawal,78.75,1218.25,1850.57,4,Stayed,No,0,74,4351,,,United States,California,Los Angeles,90024,34.066303,-118.435479,44150,60,Growing,High
1066-JKSGK,1,Male,29,Yes,No,No,No,0,1,None,None,No,No,No,Month-to-Month,Credit Card,20.15,20.15,53.73,1,Churned,Yes,1,92,4832,Competitor,Competitor made better offer,United States,California,Los Angeles,90024,34.066303,-118.435479,44150,18-30,New Customer,High
6311-UEUME,1,Female,37,No,No,No,No,0,29,None,Fiber Optic,No,Yes,No,Month-to-Month,Bank Withdrawal,78.9,2384.15,3669.72,2,Churned,Yes,1,90,3249,Price,Extra data charges,United States,California,Los Angeles,90025,34.046174,-118.446333,41175,31-45,Loyal,High
8595-SIZNC,1,Female,69,No,Yes,Yes,No,0,22,Offer D,None,No,No,No,One Year,Bank Withdrawal,25.6,548.8,884.74,4,Stayed,No,0,75,2628,,,United States,California,Los Angeles,90026,34.078991,-118.263804,73686,60,Growing,High
8276-MQBYC,1,Male,70,No,Yes,No,No,0,51,Offer B,Fiber Optic,No,Yes,Yes,Month-to-Month,Bank Withdrawal,97.8,4913.3,5907.29,2,Churned,Yes,1,81,6204,Price,Long distance charges,United States,California,Los Angeles,90028,34.099869,-118.326843,30568,60,Long-term,High
7124-UGSUR,1,Female,77,No,Yes,Yes,No,0,61,None,Fiber Optic,No,Yes,Yes,One Year,Credit Card,104.4,6405,8546.71,1,Churned,Yes,1,84,4412,Competitor,Competitor had better devices,United States,California,Los Angeles,90028,34.099869,-118.326843,30568,60,Long-term,High
1060-ENTOF,1,Female,70,No,Yes,Yes,No,0,67,None,Fiber Optic,Yes,No,Yes,One Year,Credit Card,105.4,7035.6,7214.49,4,Stayed,No,0,64,5703,,,United States,California,Los Angeles,90028,34.099869,-118.326843,30568,60,Long-term,Medium
