Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Services.Tenure in Months,Services.Offer,Services.Internet Type,Services.Premium Tech Support,Services.Streaming TV,Services.Streaming Movies,Services.Contract,Services.Payment Method,Services.Monthly Charge,Services.Total Charges,Services.Total Revenue,Status.Satisfaction Score,Status.Churn Value,Status.Churn Score,Status.CLTV,Age Group,Tenure Group
0,70,0,1,0,0,0,54,2,1,1,1,1,1,0,82.45,4350.1,5002.42,1,1,83,4149,3,1
0,74,0,1,0,0,0,2,5,2,0,0,0,0,0,70.35,139.05,165.39,3,1,73,2671,3,3
0,77,0,1,0,0,0,21,0,0,0,1,0,0,0,41.9,840.1,840.1,1,1,90,4778,3,0
1,71,0,1,1,0,0,27,0,0,0,0,0,0,1,30.75,805.1,945.1,1,1,91,2927,3,2
1,79,0,1,1,0,0,11,0,3,0,0,0,0,2,19.95,214.75,539.69,1,1,80,5888,3,3
0,66,0,1,1,0,0,55,2,2,0,0,0,0,0,85.45,4874.7,7319.8,1,1,91,5502,3,1
1,77,0,1,0,0,0,3,5,2,0,0,0,0,0,81.35,233.7,261.36,1,1,73,2818,3,3
0,68,0,1,1,0,0,5,5,2,0,0,0,0,0,81.0,371.65,577.41,1,1,91,4287,3,3
1,34,0,0,0,0,0,10,0,1,0,0,0,0,1,44.85,435.4,931.2,2,1,83,4061,1,3
0,21,1,0,0,0,0,1,0,2,0,0,0,0,1,73.6,73.6,79.79,1,1,80,2565,0,3
1,30,0,0,0,0,0,5,5,2,0,1,0,0,0,80.6,415.55,448.01,2,1,69,5715,0,3
0,55,0,0,1,0,0,38,3,1,1,1,1,1,1,80.3,3058.65,4659.97,1,1,81,2071,2,2
0,29,1,0,0,0,0,7,0,2,0,0,0,0,0,73.85,511.25,698.56,3,1,67,2473,0,3
0,54,0,0,0,0,0,2,0,2,0,0,0,0,1,80.6,155.8,166.44,1,1,92,2683,2,3
1,63,0,0,1,0,0,68,1,1,1,0,1,1,0,75.8,5293.95,7368.19,3,1,81,4903,3,1
0,24,1,0,0,0,0,43,0,2,0,1,1,2,0,104.6,4759.85,5313.69,1,1,91,5250,0,2
1,61,0,0,1,0,0,63,0,2,0,1,1,0,0,103.4,6603.0,9686.85,2,1,91,4352,3,1
0,47,0,0,0,0,0,2,5,2,0,1,1,0,0,90.4,168.2,189.26,3,1,76,4157,2,3
1,26,1,0,1,0,0,4,5,2,0,0,0,0,0,84.8,371.9,486.98,3,1,73,4939,0,3
0,40,0,0,0,0,0,10,0,2,0,0,1,0,0,80.25,846.0,1117.0,3,1,85,3598,1,3
1,54,0,0,0,0,0,5,5,2,0,1,1,0,0,96.5,492.55,596.85,3,1,91,5383,2,3
1,22,1,0,0,0,0,2,5,0,0,1,0,0,0,85.65,181.5,262.36,1,1,73,3878,0,3
0,48,0,0,1,0,0,25,3,2,1,1,1,0,0,104.95,2566.5,2789.25,3,1,66,3642,2,2
1,26,1,0,0,0,0,1,5,1,0,0,0,0,1,50.65,50.65,65.43,1,1,76,2431,0,3
1,64,0,0,0,0,0,1,5,2,0,0,1,0,1,90.85,90.85,99.41,3,1,81,3424,3,3
0,63,0,0,0,0,0,34,3,2,0,0,0,0,1,73.95,2524.45,2577.15,3,1,94,5795,3,2
1,30,0,0,1,0,0,69,1,2,0,1,1,0,1,99.45,7007.6,10374.8,3,1,80,4020,0,1
0,59,0,0,0,0,0,1,5,3,0,0,0,0,1,19.9,19.9,56.53,3,1,92,3351,2,3
1,52,0,0,0,0,0,1,5,3,0,0,0,0,1,19.6,19.6,33.77,1,1,95,3448,2,3
1,79,0,1,1,0,0,13,4,2,0,0,1,2,1,93.8,1261.0,1886.95,4,0,43,5870,3,0
0,72,0,1,1,0,0,72,0,1,0,1,1,2,1,84.1,6129.65,9542.45,3,0,62,4999,3,1
0,41,0,0,1,0,0,41,0,2,1,1,1,0,0,113.6,4594.95,4800.36,1,1,96,4963,1,2
1,73,0,1,0,0,0,38,3,0,1,1,0,1,1,70.15,2497.35,2715.85,3,1,82,2645,3,2
1,68,0,1,0,0,0,16,4,2,0,0,1,0,0,78.75,1218.25,1850.57,4,0,74,4351,3,0
1,29,1,0,0,0,0,1,0,3,0,0,0,0,1,20.15,20.15,53.73,1,1,92,4832,0,3
0,37,0,0,0,0,0,29,0,2,0,1,0,0,0,78.9,2384.15,3669.72,2,1,90,3249,1,2
0,69,0,1,1,0,0,22,4,3,0,0,0,1,0,25.6,548.8,884.74,4,0,75,2628,3,0
1,70,0,1,0,0,0,51,2,2,0,1,1,0,0,97.8,4913.3,5907.29,2,1,81,6204,3,1
0,77,0,1,1,0,0,61,0,2,0,1,1,1,1,104.4,6405.0,8546.71,1,1,84,4412,3,1
0,70,0,1,1,0,0,67,0,2,1,0,1,1,1,105.4,7035.6,7214.49,4,0,64,5703,3,1
1,61,0,0,1,1,1,47,0,2,0,1,1,0,0,99.35,4749.15,6222.6,1,1,77,5789,3,2
0,66,0,1,1,0,0,40,0,0,0,1,0,0,0,39.3,1637.4,1637.4,3,1,91,2296,3,2
1,72,0,1,0,1,1,7,0,1,0,0,0,2,1,45.75,344.2,603.18,4,0,57,3779,3,3
1,27,1,0,1,0,0,1,0,1,0,0,0,0,0,30.2,30.2,30.2,1,1,90,2915,0,3
0,80,0,1,0,0,0,1,5,2,0,0,0,0,0,75.3,75.3,130.39,2,1,67,4902,3,3
0,77,0,1,0,0,0,5,5,1,0,0,0,0,0,28.45,131.05,131.05,2,1,89,4099,3,3
0,76,0,1,1,0,0,1,0,2,0,0,0,0,0,69.55,69.55,82.01,2,1,67,5948,3,3
0,20,1,0,0,0,0,17,0,0,0,1,1,0,1,64.7,1093.1,1782.45,1,1,74,3022,0,0
0,77,0,1,0,0,0,20,0,2,0,0,1,0,0,94.1,1782.4,2837.0,1,1,87,2666,3,0
0,69,0,1,1,0,0,71,0,2,1,0,0,2,1,96.35,6766.95,10105.37,4,0,38,5309,3,1
0,72,0,1,1,0,0,5,5,2,0,0,0,0,0,74.35,334.8,563.6,1,1,82,5273,3,3
1,74,0,1,1,1,2,50,0,1,0,0,1,2,0,75.15,3822.45,5467.45,4,0,34,6084,3,1
1,79,0,1,1,0,0,2,5,2,0,1,1,1,1,95.5,181.65,257.85,5,0,69,4449,3,3
0,80,0,1,1,0,0,27,0,0,0,0,0,0,0,75.2,1929.35,2118.89,1,1,91,4517,3,2
0,74,0,1,0,0,0,4,0,0,0,1,0,0,0,89.2,346.2,539.6,1,1,74,5808,3,3
0,69,0,1,1,0,0,72,1,2,0,1,1,1,0,106.85,7677.4,8342.6,4,0,58,4768,3,1
1,71,0,1,1,0,0,27,3,2,0,0,0,2,0,70.55,1943.9,2737.14,3,0,65,2534,3,2
0,68,0,1,0,0,0,1,0,2,0,1,0,0,0,85.7,85.7,131.51,1,1,66,4880,3,3
1,71,0,1,0,0,0,1,5,1,0,0,0,1,0,45.25,45.25,57.14,3,0,40,3144,3,3
0,35,0,0,1,0,0,26,0,1,1,0,0,0,0,60.05,1616.15,2196.73,2,1,71,2039,1,2
0,78,0,1,1,0,0,65,2,2,0,1,1,0,0,105.25,6786.4,7981.75,1,1,91,4196,3,1
0,80,0,1,1,0,0,3,5,2,0,0,0,0,0,74.6,239.05,387.58,5,0,57,3711,3,3
1,75,0,1,1,0,0,49,2,2,0,0,1,0,1,90.05,4547.25,5670.33,2,1,96,5059,3,1
0,48,0,0,0,0,0,16,0,1,0,0,1,0,1,65.2,1043.35,1802.55,1,1,73,4722,2,0
0,68,0,1,0,0,0,5,0,2,0,1,0,0,1,83.15,446.05,655.2,3,1,96,2516,3,3
1,56,0,0,0,1,3,5,0,2,0,0,0,0,0,69.7,316.9,379.9,1,1,66,2454,2,3
1,77,0,1,1,0,0,43,2,2,1,1,1,0,0,110.75,4687.9,5312.26,2,1,65,2728,3,2
1,79,0,1,1,0,0,66,1,2,0,1,1,0,1,99.5,6822.15,8726.91,1,1,96,4479,3,1
0,78,0,1,0,0,0,49,0,1,0,0,0,2,1,43.8,2106.05,3832.45,5,0,68,5651,3,1
1,80,0,1,1,0,0,56,2,2,0,1,1,1,0,104.55,5794.65,8527.45,1,1,91,6268,3,1
0,42,0,0,1,0,0,13,0,1,0,1,1,0,0,48.75,633.4,633.4,2,1,86,2655,1,0
1,51,0,0,0,1,1,34,3,2,0,1,1,0,0,106.35,3549.25,4286.71,2,1,65,2941,2,2
1,75,0,1,1,0,0,20,0,2,0,1,1,0,0,94.55,1899.65,2005.85,1,1,84,5604,3,0
0,21,1,0,1,0,0,54,2,2,1,1,1,1,0,110.35,5893.15,6010.87,1,1,90,6189,0,1
0,48,0,0,0,1,2,11,0,0,0,1,1,0,0,97.85,1105.4,1408.67,3,1,70,5674,2,3
0,69,0,1,0,0,0,2,0,2,0,0,1,0,0,89.5,161.5,256.44,2,1,80,2065,3,3
0,24,1,0,1,0,0,48,2,2,0,1,1,1,1,103.25,5037.55,5342.83,1,1,71,4736,0,2
0,74,0,1,0,0,0,8,0,3,0,0,0,0,0,19.65,164.3,387.9,2,1,83,5432,3,3
1,72,0,1,0,0,0,2,5,0,0,0,0,0,0,44.7,93.7,176.56,1,1,91,4618,3,3
1,76,0,1,0,0,0,52,0,1,0,1,1,0,0,49.15,2550.9,2580.9,2,1,90,5597,3,1
0,65,0,1,1,0,0,15,0,2,1,0,0,0,0,83.05,1258.3,2030.25,3,1,70,2596,3,0
0,79,0,1,0,0,0,21,0,2,0,1,1,0,0,94.25,1973.75,2417.9,2,1,73,4819,3,0
1,80,0,1,1,0,0,25,3,2,0,0,1,1,0,89.05,2177.45,3018.2,1,1,90,2673,3,2
1,75,0,1,1,0,0,59,0,2,0,0,0,1,1,82.95,4903.15,5151.54,4,0,61,5295,3,1
0,23,1,0,0,0,0,1,5,2,0,0,0,0,2,75.05,75.05,107.91,2,1,78,4838,0,3
1,24,1,0,1,0,0,33,3,2,0,1,1,1,0,95.8,3036.75,4476.15,2,1,76,4161,0,2
1,42,0,0,0,0,0,2,0,2,0,0,0,0,0,82.0,184.65,267.01,3,1,90,3051,1,3
0,62,0,0,0,0,0,5,5,2,0,1,1,0,0,96.25,512.45,673.05,2,1,74,5056,3,3
0,70,0,1,0,0,0,2,5,2,0,0,1,2,0,84.05,186.05,229.85,3,0,72,5039,3,3
1,66,0,1,0,0,0,62,0,2,1,1,1,1,0,110.75,7053.35,10016.95,5,0,43,5166,3,1
0,31,0,0,0,0,0,1,5,1,0,1,0,0,0,34.7,34.7,34.7,3,1,81,4476,1,3
1,69,0,1,0,0,0,2,0,1,0,0,0,0,0,49.25,91.1,179.08,2,1,95,3475,3,3
1,72,0,1,1,0,0,33,0,2,0,1,1,0,0,94.5,3105.55,4022.29,3,1,91,4333,3,2
0,69,0,1,0,0,0,30,0,2,0,0,0,0,1,91.7,2758.15,4134.55,1,1,90,2482,3,2
1,73,0,1,0,0,0,20,0,2,0,1,1,0,0,98.55,1842.8,2851.6,3,1,92,5444,3,0
1,80,0,1,1,0,0,46,2,2,0,1,1,0,0,101.0,4680.05,4926.61,1,1,88,2436,3,2
0,63,0,0,0,0,0,3,5,2,0,0,0,0,1,75.1,270.7,350.26,3,1,92,4965,3,3
1,23,1,0,1,0,0,3,0,0,0,0,0,0,0,50.15,168.15,208.77,1,1,93,3273,0,3
0,54,0,0,0,0,0,25,3,2,0,0,0,0,0,79.85,2015.35,2685.6,2,1,91,4535,2,2
1,27,1,0,0,0,0,1,0,3,0,0,0,0,2,19.55,19.55,57.99,2,1,95,3556,0,3
0,48,0,0,1,0,0,4,0,2,0,0,1,0,0,85.95,381.3,397.86,3,1,95,5640,2,3
1,26,1,0,0,0,0,3,0,1,0,0,0,0,0,45.35,141.5,250.94,3,1,90,2450,0,3
0,29,1,0,0,0,0,45,0,0,1,0,0,0,0,87.25,3941.7,4143.3,1,1,90,5269,0,2
1,51,0,0,0,0,0,10,4,2,0,1,1,0,0,98.55,1008.55,1284.25,1,1,93,3658,2,3
1,31,0,0,1,0,0,67,1,2,0,0,1,1,1,90.6,6056.15,8116.4,1,1,73,4394,1,1
0,28,1,0,1,0,0,2,5,0,0,0,0,0,0,70.7,141.45,160.97,2,1,86,4559,0,3
0,65,0,1,0,0,0,71,0,2,0,1,1,1,0,105.9,7521.95,9433.61,3,0,60,5479,3,1
1,46,0,0,0,0,0,3,5,2,0,0,1,0,0,85.3,264.8,307.64,1,1,67,4934,2,3
0,65,0,1,0,0,0,46,0,2,0,1,1,1,0,110.0,4874.8,4983.82,1,1,81,2403,3,2
0,32,0,0,0,1,2,2,0,2,0,1,0,0,0,80.65,144.15,175.85,1,1,90,5586,1,3
1,74,0,1,1,0,0,7,0,0,0,1,1,0,0,95.6,644.35,797.72,3,1,83,3265,3,3
0,70,0,1,0,0,0,1,0,2,0,0,0,0,0,69.65,69.65,100.78,3,1,82,4741,3,3
0,65,0,1,0,0,0,4,0,2,0,1,0,0,0,78.85,292.8,440.52,3,1,72,5301,3,3
0,41,0,0,1,0,0,66,1,2,0,1,1,1,1,102.45,6615.15,9963.97,1,1,82,4688,1,1
0,66,0,1,0,0,0,55,0,2,0,1,1,1,0,100.0,5509.3,7665.2,3,1,83,5679,3,1
1,28,1,0,1,0,0,13,0,0,1,1,1,0,0,54.45,706.85,706.85,1,1,88,5212,0,0
1,80,0,1,0,0,0,27,0,2,0,0,0,0,0,81.45,2122.05,3280.62,3,1,83,2571,3,2
0,65,0,1,0,0,0,43,2,2,0,1,0,1,0,90.25,3838.75,4379.69,4,0,52,2223,3,2
0,22,1,0,1,0,0,21,4,2,0,1,1,0,0,104.4,2200.25,3009.17,1,1,67,5570,0,0
1,71,0,1,1,0,0,20,0,2,0,0,0,0,0,73.65,1463.5,1570.9,1,1,95,5849,3,0
0,72,0,1,0,0,0,25,0,2,0,0,1,0,0,89.7,2187.55,3073.22,3,1,82,4078,3,2
1,79,0,1,0,0,0,32,0,3,0,0,0,1,1,19.8,587.7,1416.18,4,0,78,3836,3,2
0,34,0,0,0,1,1,15,0,2,0,1,1,0,1,99.1,1426.4,1485.8,1,1,82,2966,1,0
1,65,0,1,0,0,0,9,0,2,0,1,1,0,0,100.5,918.6,1356.99,1,1,70,4038,3,3
0,65,0,1,1,0,0,25,0,1,1,1,0,1,1,69.5,1752.65,2517.65,4,0,25,3154,3,2
1,59,0,0,0,0,0,1,0,2,0,1,1,0,0,99.75,99.75,140.46,1,1,93,4214,2,3
1,69,0,1,0,0,0,10,0,2,0,0,0,0,0,72.85,688.65,773.25,1,1,91,3189,3,3
1,75,0,1,1,0,0,1,0,2,0,0,0,0,0,73.55,73.55,110.47,2,1,94,4369,3,3
1,59,0,0,1,0,0,60,0,2,0,1,0,0,0,95.75,5742.9,7856.1,2,1,88,4129,2,1
0,72,0,1,1,0,0,60,2,0,1,0,1,1,1,74.85,4456.35,7390.35,3,0,59,5153,3,1
0,75,0,1,0,0,0,3,0,2,0,0,0,0,0,79.4,205.05,330.75,1,1,91,3501,3,3
0,70,0,1,1,0,0,31,3,2,1,1,1,0,0,98.9,2911.3,4397.75,2,1,91,4050,3,2
0,68,0,1,0,0,0,4,0,0,0,0,1,0,0,84.6,360.1,386.82,1,1,83,2467,3,3
1,65,0,1,1,0,0,59,0,0,0,1,1,0,0,50.25,2997.45,2997.45,4,0,27,5546,3,1
1,39,0,0,0,0,0,4,0,1,1,1,1,0,0,74.4,299.7,415.26,2,1,69,3633,1,3
1,71,0,1,0,0,0,35,0,2,0,1,1,0,0,99.05,3395.8,4244.85,1,1,82,2074,3,2
1,77,0,1,1,0,0,66,0,2,1,1,1,1,0,108.45,7076.35,8514.49,5,0,74,4582,3,1
1,69,0,1,0,0,0,30,0,1,1,1,0,2,1,69.1,2093.9,2670.42,3,0,75,3415,3,2
0,68,0,1,0,0,0,64,0,1,1,0,1,2,1,74.65,4869.35,6595.11,4,0,58,5113,3,1
1,78,0,1,0,0,0,23,0,0,0,0,1,0,0,34.65,768.45,768.45,4,0,67,2307,3,0
1,80,0,1,0,0,0,2,5,1,0,0,0,0,1,44.95,85.15,138.39,2,1,84,5900,3,3
0,65,0,1,0,0,0,14,4,2,0,0,0,0,0,78.95,1101.85,1330.89,1,1,88,5203,3,0
1,73,0,1,1,0,0,71,0,0,0,1,1,0,0,52.3,3765.05,3805.05,5,0,51,5491,3,1
0,76,0,1,1,0,0,27,3,1,1,1,1,0,0,83.85,2310.2,2402.81,5,0,35,5907,3,2
1,66,0,1,0,0,0,8,0,2,1,1,1,0,1,100.3,832.35,924.91,1,1,74,5084,3,3
0,24,1,0,0,0,0,1,5,3,0,0,0,0,1,19.6,19.6,24.96,2,1,91,4205,0,3
1,73,0,1,1,0,0,44,0,0,0,0,0,0,0,30.35,1359.7,1359.7,1,1,96,4829,3,2
1,68,0,1,1,0,0,62,0,2,0,0,0,0,0,89.1,5618.3,5913.42,4,0,25,4415,3,1
1,77,0,1,1,0,0,62,0,2,0,1,1,1,0,103.75,6383.35,6824.17,1,1,91,5052,3,1
0,73,0,1,1,0,0,26,3,2,0,0,1,0,0,93.85,2381.55,2622.83,2,1,86,2591,3,2
0,78,0,1,0,0,0,35,3,2,0,1,1,0,0,99.05,3554.6,4662.0,4,0,63,3484,3,2
0,76,0,1,1,0,0,33,0,0,0,0,0,0,0,80.6,2656.5,3751.77,2,1,72,3601,3,2
0,65,0,1,0,0,0,4,5,2,0,1,1,0,0,94.3,424.45,622.45,2,1,91,5419,3,3
1,65,0,1,0,0,0,14,0,2,0,1,1,0,0,95.6,1273.3,1799.98,3,0,78,3502,3,0
1,75,0,1,1,0,0,27,0,2,0,0,0,0,0,75.5,1893.95,2180.15,1,1,65,2377,3,2
1,66,0,1,1,0,0,18,4,2,0,0,1,0,0,78.55,1422.65,1512.29,3,1,84,3521,3,0
0,41,0,0,0,1,2,9,0,2,0,1,1,0,0,94.4,857.25,1102.14,3,1,96,5571,1,3
1,75,0,1,0,0,0,8,5,2,0,1,1,0,0,100.6,819.4,1143.0,1,1,90,5906,3,3
0,73,0,1,0,0,0,11,0,1,0,0,0,2,0,55.6,580.8,596.51,4,0,80,5014,3,3
0,74,0,1,0,0,0,2,5,1,0,0,0,0,0,43.95,85.1,123.28,5,0,55,4057,3,3
0,68,0,1,1,0,0,3,5,2,1,1,0,0,2,88.3,273.75,351.06,1,1,68,4486,3,3
0,71,0,1,0,0,0,8,5,2,0,1,1,0,0,92.1,729.95,1073.39,1,1,81,5662,3,3
0,77,0,1,0,0,0,72,1,2,1,1,1,2,0,110.1,7746.7,8718.53,4,0,57,5232,3,1
1,74,0,1,0,0,0,14,0,2,0,1,1,0,1,90.45,1266.1,1424.44,3,1,96,4777,3,0
0,76,0,1,0,0,0,2,0,2,0,1,0,2,0,83.8,163.7,229.66,3,0,53,2885,3,3
1,68,0,1,0,0,0,57,0,2,1,1,1,2,0,104.9,5913.95,7833.1,5,0,75,5838,3,1
1,77,0,1,0,0,0,12,0,1,1,0,1,0,0,43.65,526.95,526.95,1,1,74,2437,3,3
0,77,0,1,0,0,0,2,0,2,0,0,0,0,1,75.45,158.4,205.32,3,1,65,3350,3,3
0,23,1,0,0,0,0,9,0,2,0,0,0,0,1,74.25,639.65,764.39,1,1,76,5393,0,3
0,73,0,1,0,0,0,13,0,2,0,0,0,0,0,74.3,940.35,1465.16,1,1,90,2995,3,0
0,73,0,1,0,0,0,2,0,1,0,0,0,0,1,54.85,104.2,155.68,1,1,96,3016,3,3
0,68,0,1,0,0,0,11,0,2,0,1,1,0,0,89.7,1047.7,1091.26,2,1,89,2202,3,3
0,77,0,1,1,0,0,37,0,3,0,0,0,1,2,19.6,727.8,1665.75,4,0,77,5730,3,2
1,77,0,1,1,0,0,10,4,2,0,0,1,0,0,85.55,851.75,911.85,1,1,81,3336,3,3
1,74,0,1,1,0,0,17,0,0,0,1,1,0,1,100.45,1622.45,2101.51,3,1,87,5508,3,0
1,71,0,1,1,0,0,64,2,2,1,1,1,2,0,111.6,7099.0,8144.12,4,0,69,4881,3,1
1,65,0,1,1,0,0,39,0,2,0,1,1,0,0,105.65,4284.8,5581.55,3,1,96,4687,3,2
1,65,0,1,0,0,0,3,5,2,0,1,0,0,0,91.05,289.1,368.06,2,1,91,2194,3,3
0,79,0,1,0,0,0,17,0,2,0,1,1,2,0,94.2,1608.15,2118.98,4,0,54,4425,3,0
0,73,0,1,1,0,0,11,0,2,1,1,1,0,0,104.05,1133.65,1323.4,3,1,82,4553,3,3
0,74,0,1,1,0,0,3,5,2,0,1,0,0,0,80.4,224.05,233.92,2,1,89,3834,3,3
0,73,0,1,0,0,0,56,0,2,0,1,1,1,0,110.5,6139.5,8778.78,4,0,21,4463,3,1
1,80,0,1,0,0,0,21,0,1,0,1,0,0,0,60.05,1236.15,1963.17,1,1,70,4716,3,0
1,71,0,1,1,0,0,1,0,2,0,1,1,0,0,95.1,95.1,99.99,1,1,70,5795,3,3
0,76,0,1,0,0,0,16,0,2,0,1,1,0,0,96.15,1529.2,2149.2,2,1,96,5913,3,0
1,71,0,1,0,0,0,10,4,2,0,1,1,0,0,95.35,898.35,1312.05,1,1,75,5353,3,3
0,67,0,1,0,0,0,43,0,2,1,1,1,0,1,108.15,4600.7,5969.39,1,1,86,2833,3,2
0,80,0,1,0,0,0,1,0,2,0,0,0,0,0,71.0,71.0,99.64,3,1,72,5345,3,3
0,73,0,1,1,0,0,47,0,2,0,0,0,0,0,70.55,3309.25,4548.91,3,1,82,4457,3,2
